text,intent,sentiment,product,plan,country,user_type
There is a problem with my mobile service,technical_support,neutral,mobile,postpaid platinum,Singapore,enterprise
Can I get a refund for vm pro?,refund,negative,cloud,vm pro,Thailand,individual
I am facing issues with my fiber 300,technical_support,negative,broadband,fiber 300,USA,individual
Please upgrade me to postpaid silver,upgrade,positive,mobile,postpaid silver,USA,enterprise
Can I get a refund for postpaid platinum?,refund,negative,mobile,postpaid platinum,USA,individual
I want to change my plan to prepaid basic,plan_change,neutral,mobile,prepaid basic,India,individual
"My bill shows 25 for smart parking, why is that?",billing,neutral,iot,smart parking,Thailand,enterprise
Can you move me to fiber 300?,upgrade,positive,broadband,fiber 300,USA,enterprise
My fleet iot is not functioning correctly,technical_support,negative,iot,fleet iot,Thailand,individual
Can I get a refund for smart traffic?,refund,negative,iot,smart traffic,Singapore,enterprise
I need my money back for fleet iot,refund,negative,iot,fleet iot,USA,enterprise
Help me change to fiber 1gbps,plan_change,positive,broadband,fiber 1gbps,USA,enterprise
Upgrade my current plan to vm basic,upgrade,positive,cloud,vm basic,Singapore,enterprise
Help me change to vm pro,plan_change,neutral,cloud,vm pro,Singapore,enterprise
I want a refund for my smart parking,refund,negative,iot,smart parking,India,individual
There is a problem with my broadband service,technical_support,neutral,broadband,fiber 300,India,enterprise
There is a problem with my iot service,technical_support,neutral,iot,fleet iot,India,individual
I am facing issues with my vm enterprise,technical_support,neutral,cloud,vm enterprise,India,individual
Can you move me to fiber 300?,upgrade,positive,broadband,fiber 300,USA,individual
Can you move me to postpaid silver?,upgrade,positive,mobile,postpaid silver,Thailand,enterprise
The iot connection is very slow,technical_support,negative,iot,smart traffic,Thailand,individual
Why is my postpaid gold bill 1886?,billing,negative,mobile,postpaid gold,India,enterprise
I would like to switch to fleet iot,upgrade,positive,iot,fleet iot,USA,enterprise
I would like to modify my plan to fiber 100,plan_change,positive,broadband,fiber 100,Singapore,enterprise
Upgrade my current plan to storage 10tb,upgrade,positive,cloud,storage 10tb,India,individual
Please upgrade me to smart parking,upgrade,positive,iot,smart parking,USA,individual
I want a refund for my fiber 100,refund,negative,broadband,fiber 100,Singapore,individual
I would like to switch to fleet iot,upgrade,positive,iot,fleet iot,Singapore,enterprise
I want a refund for my fiber 1gbps,refund,negative,broadband,fiber 1gbps,USA,individual
Is refund possible for postpaid gold?,refund,negative,mobile,postpaid gold,Singapore,individual
There is an unexpected charge of 5795 for smart parking,billing,negative,iot,smart parking,India,individual
There is a problem with my mobile service,technical_support,negative,mobile,postpaid silver,Thailand,individual
The mobile connection is very slow,technical_support,negative,mobile,postpaid platinum,Singapore,enterprise
I want to change my plan to vm enterprise,plan_change,positive,cloud,vm enterprise,USA,individual
My fiber 300 is not functioning correctly,technical_support,negative,broadband,fiber 300,Thailand,individual
I want to upgrade my plan to postpaid silver,upgrade,positive,mobile,postpaid silver,Thailand,individual
"I was billed 64 for vm basic, can you explain?",billing,negative,cloud,vm basic,Thailand,individual
There is a problem with my broadband service,technical_support,neutral,broadband,fiber 1gbps,USA,enterprise
Can you move me to postpaid gold?,upgrade,positive,mobile,postpaid gold,India,individual
I want a refund for my vm enterprise,refund,negative,cloud,vm enterprise,Singapore,enterprise
Can you switch my plan to fleet iot?,plan_change,neutral,iot,fleet iot,Singapore,enterprise
Help me change to fiber 300,plan_change,neutral,broadband,fiber 300,Singapore,individual
There is an unexpected charge of 118 for fleet iot,billing,neutral,iot,fleet iot,Singapore,enterprise
Help me change to fleet iot,plan_change,positive,iot,fleet iot,Thailand,individual
I want to change my plan to prepaid unlimited,plan_change,positive,mobile,prepaid unlimited,Singapore,individual
My prepaid unlimited is not functioning correctly,technical_support,negative,mobile,prepaid unlimited,Singapore,individual
Upgrade my current plan to fiber 1gbps,upgrade,positive,broadband,fiber 1gbps,Thailand,enterprise
Is refund possible for prepaid plus?,refund,negative,mobile,prepaid plus,USA,enterprise
There is an unexpected charge of 129 for fiber 1gbps,billing,neutral,broadband,fiber 1gbps,Thailand,enterprise
I am facing issues with my smart traffic,technical_support,negative,iot,smart traffic,USA,enterprise
My broadband service is not working properly,technical_support,negative,broadband,fiber 100,Thailand,enterprise
Help me change to postpaid gold,plan_change,neutral,mobile,postpaid gold,India,enterprise
Can you move me to fleet iot?,upgrade,positive,iot,fleet iot,Singapore,individual
Please change my current plan to prepaid basic,plan_change,positive,mobile,prepaid basic,Singapore,individual
Help me change to fiber 300,plan_change,positive,broadband,fiber 300,India,enterprise
Can you move me to fiber 300?,upgrade,positive,broadband,fiber 300,Singapore,individual
I want to change my plan to fiber 100,plan_change,neutral,broadband,fiber 100,India,individual
Is refund possible for fiber 100?,refund,negative,broadband,fiber 100,Thailand,individual
Why was I charged 146 for my fiber 1gbps?,billing,negative,broadband,fiber 1gbps,Thailand,individual
I would like to switch to postpaid gold,upgrade,positive,mobile,postpaid gold,India,individual
Why was I charged 133 for my smart parking?,billing,neutral,iot,smart parking,Singapore,individual
I would like to modify my plan to postpaid gold,plan_change,neutral,mobile,postpaid gold,USA,individual
Can you switch my plan to storage 1tb?,plan_change,neutral,cloud,storage 1tb,Thailand,enterprise
I want to change my plan to vm basic,plan_change,positive,cloud,vm basic,Singapore,individual
My cloud service is not working properly,technical_support,negative,cloud,storage 10tb,Singapore,enterprise
My mobile service is not working properly,technical_support,neutral,mobile,postpaid silver,Singapore,enterprise
My postpaid platinum is not functioning correctly,technical_support,neutral,mobile,postpaid platinum,Thailand,individual
"My bill shows 191 for smart parking, why is that?",billing,negative,iot,smart parking,Singapore,individual
I want a refund for my prepaid basic,refund,negative,mobile,prepaid basic,USA,individual
My broadband service is not working properly,technical_support,neutral,broadband,fiber 300,Singapore,individual
I want to upgrade my plan to postpaid gold,upgrade,positive,mobile,postpaid gold,India,individual
"I was billed 171 for fiber 1gbps, can you explain?",billing,negative,broadband,fiber 1gbps,USA,individual
Upgrade my current plan to storage 1tb,upgrade,positive,cloud,storage 1tb,USA,individual
Can I get a refund for smart traffic?,refund,negative,iot,smart traffic,Thailand,enterprise
Can I get a refund for smart traffic?,refund,negative,iot,smart traffic,USA,individual
Please upgrade me to fiber 100,upgrade,positive,broadband,fiber 100,USA,enterprise
Please upgrade me to fiber 1gbps,upgrade,positive,broadband,fiber 1gbps,Thailand,individual
Please process a refund for vm basic,refund,negative,cloud,vm basic,India,individual
Why was I charged 59 for my prepaid unlimited?,billing,negative,mobile,prepaid unlimited,Thailand,individual
Please process a refund for smart traffic,refund,negative,iot,smart traffic,Thailand,enterprise
"My bill shows 25 for smart parking, why is that?",billing,neutral,iot,smart parking,Thailand,enterprise
I need my money back for fiber 300,refund,negative,broadband,fiber 300,USA,individual
I would like to modify my plan to postpaid gold,plan_change,neutral,mobile,postpaid gold,USA,individual
Upgrade my current plan to fleet iot,upgrade,positive,iot,fleet iot,USA,individual
I am facing issues with my prepaid plus,technical_support,negative,mobile,prepaid plus,Singapore,individual
Can you switch my plan to prepaid basic?,plan_change,neutral,mobile,prepaid basic,India,individual
I would like to modify my plan to fiber 1gbps,plan_change,neutral,broadband,fiber 1gbps,India,enterprise
I am facing issues with my fiber 300,technical_support,neutral,broadband,fiber 300,India,individual
I would like to modify my plan to prepaid plus,plan_change,neutral,mobile,prepaid plus,USA,enterprise
Help me change to storage 1tb,plan_change,positive,cloud,storage 1tb,Singapore,individual
I am facing issues with my postpaid platinum,technical_support,neutral,mobile,postpaid platinum,USA,individual
Why is my fiber 300 bill 2271?,billing,negative,broadband,fiber 300,India,enterprise
Help me change to smart parking,plan_change,neutral,iot,smart parking,Singapore,individual
Why is my fleet iot bill 36?,billing,negative,iot,fleet iot,Singapore,individual
Why is my vm enterprise bill 139?,billing,negative,cloud,vm enterprise,Singapore,individual
Is refund possible for storage 10tb?,refund,negative,cloud,storage 10tb,Singapore,individual
I am facing issues with my fiber 300,technical_support,neutral,broadband,fiber 300,Singapore,individual
I want to change my plan to prepaid plus,plan_change,neutral,mobile,prepaid plus,USA,individual
I want to change my plan to fiber 100,plan_change,positive,broadband,fiber 100,Thailand,individual
Why is my fiber 300 bill 84?,billing,neutral,broadband,fiber 300,Thailand,enterprise
Please upgrade me to storage 10tb,upgrade,positive,cloud,storage 10tb,Singapore,enterprise
The mobile connection is very slow,technical_support,negative,mobile,postpaid platinum,USA,individual
There is an unexpected charge of 203 for prepaid unlimited,billing,negative,mobile,prepaid unlimited,Singapore,individual
I need my money back for fleet iot,refund,negative,iot,fleet iot,India,enterprise
Please upgrade me to storage 1tb,upgrade,positive,cloud,storage 1tb,Singapore,enterprise
Please upgrade me to vm basic,upgrade,positive,cloud,vm basic,Singapore,enterprise
I want to upgrade my plan to storage 1tb,upgrade,positive,cloud,storage 1tb,India,individual
There is an unexpected charge of 63 for fleet iot,billing,neutral,iot,fleet iot,USA,individual
Please process a refund for smart traffic,refund,negative,iot,smart traffic,Thailand,enterprise
My vm pro is not functioning correctly,technical_support,neutral,cloud,vm pro,Singapore,enterprise
I am facing issues with my smart traffic,technical_support,negative,iot,smart traffic,Thailand,enterprise
Can you move me to storage 10tb?,upgrade,positive,cloud,storage 10tb,USA,individual
I want to upgrade my plan to fiber 1gbps,upgrade,positive,broadband,fiber 1gbps,India,enterprise
Upgrade my current plan to fleet iot,upgrade,positive,iot,fleet iot,USA,enterprise
"I was billed 150 for postpaid platinum, can you explain?",billing,negative,mobile,postpaid platinum,Thailand,individual
Can you move me to smart traffic?,upgrade,positive,iot,smart traffic,Singapore,enterprise
Why is my fiber 100 bill 3194?,billing,neutral,broadband,fiber 100,India,enterprise
I want to upgrade my plan to prepaid plus,upgrade,positive,mobile,prepaid plus,USA,individual
I want to upgrade my plan to fiber 1gbps,upgrade,positive,broadband,fiber 1gbps,Singapore,individual
There is a problem with my cloud service,technical_support,negative,cloud,vm basic,India,individual
I would like to modify my plan to postpaid gold,plan_change,neutral,mobile,postpaid gold,Singapore,enterprise
My prepaid plus is not functioning correctly,technical_support,neutral,mobile,prepaid plus,India,enterprise
Upgrade my current plan to vm basic,upgrade,positive,cloud,vm basic,USA,individual
I would like to switch to smart traffic,upgrade,positive,iot,smart traffic,Thailand,individual
Can I get a refund for fiber 1gbps?,refund,negative,broadband,fiber 1gbps,Singapore,enterprise
I need my money back for fiber 300,refund,negative,broadband,fiber 300,India,individual
Can you move me to storage 1tb?,upgrade,positive,cloud,storage 1tb,USA,enterprise
I need my money back for fiber 300,refund,negative,broadband,fiber 300,Thailand,individual
Please process a refund for prepaid basic,refund,negative,mobile,prepaid basic,India,individual
"I was billed 2700 for fleet iot, can you explain?",billing,neutral,iot,fleet iot,India,individual
I want to upgrade my plan to postpaid platinum,upgrade,positive,mobile,postpaid platinum,Thailand,individual
Please change my current plan to smart parking,plan_change,neutral,iot,smart parking,Singapore,enterprise
I would like to switch to fiber 100,upgrade,positive,broadband,fiber 100,India,individual
I need my money back for fiber 100,refund,negative,broadband,fiber 100,USA,individual
I want to upgrade my plan to fleet iot,upgrade,positive,iot,fleet iot,Singapore,enterprise
I am facing issues with my prepaid plus,technical_support,negative,mobile,prepaid plus,USA,enterprise
I want to upgrade my plan to smart traffic,upgrade,positive,iot,smart traffic,USA,individual
There is an unexpected charge of 179 for storage 1tb,billing,neutral,cloud,storage 1tb,Singapore,individual
There is a problem with my iot service,technical_support,neutral,iot,smart parking,India,individual
The broadband connection is very slow,technical_support,neutral,broadband,fiber 100,USA,enterprise
My broadband service is not working properly,technical_support,negative,broadband,fiber 1gbps,USA,individual
I am facing issues with my fiber 1gbps,technical_support,neutral,broadband,fiber 1gbps,Thailand,enterprise
Can I get a refund for fiber 300?,refund,negative,broadband,fiber 300,Thailand,individual
I want to change my plan to postpaid platinum,plan_change,positive,mobile,postpaid platinum,India,individual
I would like to modify my plan to vm pro,plan_change,neutral,cloud,vm pro,Thailand,individual
The cloud connection is very slow,technical_support,neutral,cloud,vm enterprise,India,individual
Please change my current plan to storage 1tb,plan_change,positive,cloud,storage 1tb,USA,individual
"I was billed 163 for fiber 300, can you explain?",billing,neutral,broadband,fiber 300,Thailand,enterprise
There is a problem with my cloud service,technical_support,negative,cloud,storage 10tb,Thailand,enterprise
Help me change to fiber 300,plan_change,neutral,broadband,fiber 300,India,enterprise
Is refund possible for fleet iot?,refund,negative,iot,fleet iot,USA,individual
Upgrade my current plan to prepaid basic,upgrade,positive,mobile,prepaid basic,Singapore,enterprise
"I was billed 67 for fleet iot, can you explain?",billing,negative,iot,fleet iot,Singapore,enterprise
I want to upgrade my plan to prepaid unlimited,upgrade,positive,mobile,prepaid unlimited,USA,individual
Can you move me to prepaid plus?,upgrade,positive,mobile,prepaid plus,Thailand,individual
Can you move me to postpaid gold?,upgrade,positive,mobile,postpaid gold,India,individual
I would like to switch to fleet iot,upgrade,positive,iot,fleet iot,Singapore,enterprise
Why was I charged 20 for my fiber 300?,billing,neutral,broadband,fiber 300,USA,individual
Is refund possible for vm basic?,refund,negative,cloud,vm basic,Thailand,individual
My broadband service is not working properly,technical_support,neutral,broadband,fiber 100,India,individual
Help me change to smart traffic,plan_change,neutral,iot,smart traffic,India,individual
