text,intent,sentiment,country,product_group,plan,customer_type,priority,amount_billed,satisfaction_score
Frustrated with Prepaid Unlimited connection.,Complaint,Satisfied,Thailand,Mobile Connectivity,Prepaid Unlimited,Enterprise,Priority,80.16,4
My ZENDOffice Net 1G is not working properly.,Technical Support,Neutral,India,Home & Office Internet,ZENDOffice Net 1G,Individual,Priority,20.01,3
Frustrated with ZENDSmart Parking connection.,Complaint,Happy,USA,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Enterprise,386.67,5
Can I upgrade from ZENDFiber Home 1 Gbps to a higher plan?,Plan Upgrade,Satisfied,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Standard,199.94,4
I want a refund for ZENDEnterprise Dedicated subscription.,Refund,Angry,USA,Business Connectivity,ZENDEnterprise Dedicated,Individual,Standard,353.3,1
Can I upgrade from Prepaid Unlimited to a higher plan?,Plan Upgrade,Neutral,Thailand,Mobile Connectivity,Prepaid Unlimited,Enterprise,Standard,134.7,3
Complaint regarding ZENDEnterprise Dedicated.,Complaint,Neutral,India,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Standard,338.18,3
How much does ZENDEnterprise Dedicated cost in my country?,Information Query,Neutral,India,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,134.27,3
Need help fixing my ZENDBiz Connect 1G service.,Technical Support,Happy,Singapore,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Standard,421.44,5
I was charged $X instead of $Y for ZENDCloud VM Basic.,Billing,Angry,India,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Standard,51.36,1
I want to cancel my ZENDSmart Traffic subscription.,Cancellation,Angry,India,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Enterprise,178.64,1
I want to upgrade my ZENDFiber Home 100 Mbps plan.,Plan Upgrade,Happy,India,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Priority,146.93,5
How much does Prepaid Unlimited cost in my country?,Information Query,Angry,India,Mobile Connectivity,Prepaid Unlimited,Individual,Standard,71.28,1
What features does ZENDCloud VM Pro offer?,Information Query,Satisfied,Singapore,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Priority,119.99,4
Frustrated with ZENDFiber Home 300 Mbps connection.,Complaint,Angry,India,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Enterprise,83.39,1
I am not happy with my ZENDSmart Lighting service.,Complaint,Happy,Thailand,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Enterprise,166.25,5
Complaint regarding ZENDFiber Home 1 Gbps.,Complaint,Neutral,Thailand,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Priority,98.33,3
My Prepaid Plus 20GB is not working properly.,Technical Support,Angry,India,Mobile Connectivity,Prepaid Plus 20GB,Individual,Enterprise,86.15,1
How much does ZENDIndustrial Sensor cost in my country?,Information Query,Happy,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Standard,319.8,5
Need details about ZENDSmart Traffic.,Information Query,Neutral,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Priority,296.1,3
I am facing issues with ZENDFiber Home 300 Mbps.,Technical Support,Neutral,India,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Enterprise,83.8,3
My ZENDEnterprise Dedicated is not working properly.,Technical Support,Satisfied,India,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,253.58,4
Requesting refund for ZENDBiz Connect 500.,Refund,Angry,USA,Business Connectivity,ZENDBiz Connect 500,Enterprise,Priority,205.0,1
Requesting refund for ZENDEnterprise Dedicated.,Refund,Neutral,India,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Enterprise,63.49,3
Need details about ZENDStorage 1TB.,Information Query,Angry,Singapore,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Standard,133.84,1
Please terminate my ZENDCloud VM Basic plan.,Cancellation,Angry,USA,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Enterprise,44.61,1
Please terminate my ZENDFiber Home 100 Mbps plan.,Cancellation,Neutral,USA,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Priority,67.49,3
How do I stop Postpaid Gold 100GB service?,Cancellation,Angry,USA,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Standard,41.31,1
Can I upgrade from ZENDFiber Home 300 Mbps to a higher plan?,Plan Upgrade,Satisfied,India,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Enterprise,128.94,4
I am not happy with my ZENDSmart Traffic service.,Complaint,Satisfied,India,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Standard,221.56,4
What are the costs to move from ZENDEnterprise Dedicated to premium?,Plan Upgrade,Satisfied,USA,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,141.47,4
Complaint regarding ZENDArchive Storage.,Complaint,Happy,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,61.46,5
Can I upgrade from ZENDStorage 1TB to a higher plan?,Plan Upgrade,Happy,Thailand,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Priority,52.38,5
I am not happy with my ZENDCloud VM Basic service.,Complaint,Neutral,Thailand,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Enterprise,179.49,3
I was charged $X instead of $Y for ZENDBiz Connect 500.,Billing,Happy,USA,Business Connectivity,ZENDBiz Connect 500,Enterprise,Enterprise,303.96,5
How do I claim a refund if I used less than 10% of ZENDOffice Net 1G?,Refund,Neutral,USA,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Priority,173.66,3
What are the costs to move from ZENDOffice Net 1G to premium?,Plan Upgrade,Happy,India,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Standard,162.81,5
What features does ZENDArchive Storage offer?,Information Query,Happy,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Standard,193.36,5
My ZENDEnterprise Ultra is not working properly.,Technical Support,Neutral,Thailand,Business Connectivity,ZENDEnterprise Ultra,Individual,Priority,458.09,3
How much does ZENDEnterprise Ultra cost in my country?,Information Query,Satisfied,India,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Standard,72.22,4
I want a refund for ZENDOffice Net 500 subscription.,Refund,Angry,USA,Home & Office Internet,ZENDOffice Net 500,Enterprise,Enterprise,184.17,1
I am not happy with my ZENDCloud VM Basic service.,Complaint,Neutral,Singapore,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Standard,208.95,3
My ZENDBiz Connect 500 is not working properly.,Technical Support,Happy,USA,Business Connectivity,ZENDBiz Connect 500,Individual,Enterprise,383.79,5
How much does ZENDSmart Parking cost in my country?,Information Query,Neutral,USA,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Enterprise,307.73,3
My billing amount for ZENDEnterprise Ultra seems incorrect.,Billing,Happy,Thailand,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,402.23,5
Can I upgrade from ZENDStorage 1TB to a higher plan?,Plan Upgrade,Angry,Thailand,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Enterprise,71.86,1
I want to cancel my ZENDIndustrial Sensor subscription.,Cancellation,Happy,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Standard,64.14,5
Requesting refund for ZENDArchive Storage.,Refund,Angry,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Enterprise,77.86,1
I want to cancel my Postpaid Gold 100GB subscription.,Cancellation,Neutral,USA,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Standard,38.25,3
Need details about ZENDEnterprise Ultra.,Information Query,Angry,India,Business Connectivity,ZENDEnterprise Ultra,Individual,Priority,126.3,1
Need help fixing my Postpaid Gold 100GB service.,Technical Support,Neutral,Singapore,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Priority,31.89,3
Please terminate my ZENDCloud VM Enterprise plan.,Cancellation,Happy,India,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,54.83,5
I want to upgrade my ZENDCloud VM Pro plan.,Plan Upgrade,Satisfied,Singapore,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Standard,98.55,4
I want a refund for ZENDBiz Connect 100 subscription.,Refund,Neutral,Thailand,Business Connectivity,ZENDBiz Connect 100,Enterprise,Standard,325.52,3
Can I upgrade from ZENDFiber Home 1 Gbps to a higher plan?,Plan Upgrade,Neutral,India,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Priority,88.54,3
I want a refund for Prepaid Plus 20GB subscription.,Refund,Angry,Thailand,Mobile Connectivity,Prepaid Plus 20GB,Individual,Standard,94.4,1
Complaint regarding ZENDEnterprise Ultra.,Complaint,Angry,USA,Business Connectivity,ZENDEnterprise Ultra,Individual,Standard,136.46,1
How do I stop ZENDBiz Connect 1G service?,Cancellation,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Priority,94.36,3
My ZENDEnterprise Ultra is not working properly.,Technical Support,Happy,Thailand,Business Connectivity,ZENDEnterprise Ultra,Individual,Enterprise,253.93,5
Please terminate my ZENDBiz Connect 100 plan.,Cancellation,Angry,Thailand,Business Connectivity,ZENDBiz Connect 100,Enterprise,Priority,372.53,1
What features does ZENDBiz Connect 500 offer?,Information Query,Satisfied,Singapore,Business Connectivity,ZENDBiz Connect 500,Enterprise,Priority,368.6,4
Frustrated with ZENDFiber Home 1 Gbps connection.,Complaint,Angry,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Standard,35.3,1
How do I claim a refund if I used less than 10% of Postpaid Platinum Unlimited?,Refund,Neutral,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Priority,28.49,3
What features does ZENDEnterprise Dedicated offer?,Information Query,Neutral,USA,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Standard,257.21,3
Can I upgrade from ZENDBiz Connect 100 to a higher plan?,Plan Upgrade,Neutral,Thailand,Business Connectivity,ZENDBiz Connect 100,Individual,Standard,300.15,3
Frustrated with ZENDStorage 10TB connection.,Complaint,Angry,India,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Standard,36.05,1
I want to upgrade my Prepaid Plus 20GB plan.,Plan Upgrade,Angry,USA,Mobile Connectivity,Prepaid Plus 20GB,Individual,Priority,85.41,1
I was charged $X instead of $Y for ZENDIndustrial Sensor.,Billing,Satisfied,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Standard,301.8,4
Need details about ZENDFleet IoT.,Information Query,Happy,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Individual,Enterprise,295.27,5
Need help fixing my ZENDEnterprise Ultra service.,Technical Support,Neutral,India,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,228.11,3
I want to cancel my ZENDFiber Home 100 Mbps subscription.,Cancellation,Happy,USA,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Enterprise,157.56,5
I was charged $X instead of $Y for Prepaid Plus 20GB.,Billing,Neutral,USA,Mobile Connectivity,Prepaid Plus 20GB,Individual,Enterprise,58.28,3
My billing amount for ZENDSmart Lighting seems incorrect.,Billing,Satisfied,USA,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Priority,339.01,4
How much does ZENDCloud VM Pro cost in my country?,Information Query,Happy,India,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Standard,249.63,5
I was charged $X instead of $Y for ZENDFiber Home 1 Gbps.,Billing,Satisfied,Thailand,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Enterprise,110.48,4
My ZENDFleet IoT is not working properly.,Technical Support,Neutral,USA,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Priority,190.67,3
Complaint regarding Prepaid Basic 5GB.,Complaint,Neutral,Thailand,Mobile Connectivity,Prepaid Basic 5GB,Individual,Standard,48.1,3
I want a refund for ZENDCloud VM Pro subscription.,Refund,Angry,Singapore,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Standard,108.77,1
My billing amount for ZENDFiber Home 100 Mbps seems incorrect.,Billing,Happy,Thailand,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Standard,160.16,5
Can I upgrade from ZENDCloud VM Pro to a higher plan?,Plan Upgrade,Neutral,Singapore,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Standard,245.93,3
Can I upgrade from ZENDBiz Connect 1G to a higher plan?,Plan Upgrade,Happy,Singapore,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Priority,211.67,5
Need help fixing my ZENDSmart Traffic service.,Technical Support,Satisfied,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Enterprise,300.78,4
My Postpaid Gold 100GB is not working properly.,Technical Support,Satisfied,India,Mobile Connectivity,Postpaid Gold 100GB,Individual,Priority,48.23,4
How do I claim a refund if I used less than 10% of Postpaid Silver 50GB?,Refund,Satisfied,Singapore,Mobile Connectivity,Postpaid Silver 50GB,Individual,Standard,148.28,4
I am facing issues with Prepaid Unlimited.,Technical Support,Satisfied,India,Mobile Connectivity,Prepaid Unlimited,Enterprise,Priority,149.14,4
What features does Prepaid Plus 20GB offer?,Information Query,Neutral,India,Mobile Connectivity,Prepaid Plus 20GB,Individual,Priority,77.64,3
What are the costs to move from ZENDOffice Net 1G to premium?,Plan Upgrade,Neutral,USA,Home & Office Internet,ZENDOffice Net 1G,Individual,Standard,39.04,3
Need help fixing my ZENDFiber Home 1 Gbps service.,Technical Support,Neutral,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Priority,170.28,3
I am not happy with my Postpaid Platinum Unlimited service.,Complaint,Neutral,India,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Priority,73.57,3
Please terminate my ZENDSmart Lighting plan.,Cancellation,Angry,Thailand,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Enterprise,89.53,1
Complaint regarding ZENDCloud VM Enterprise.,Complaint,Neutral,USA,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,284.88,3
How do I stop ZENDIndustrial Sensor service?,Cancellation,Satisfied,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Standard,231.55,4
What features does ZENDEnterprise Dedicated offer?,Information Query,Satisfied,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Standard,266.17,4
I want a refund for Prepaid Unlimited subscription.,Refund,Happy,Singapore,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,123.63,5
Need help fixing my Prepaid Unlimited service.,Technical Support,Angry,USA,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,98.4,1
What features does ZENDOffice Net 1G offer?,Information Query,Neutral,USA,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Priority,149.97,3
Need details about ZENDBiz Connect 100.,Information Query,Angry,India,Business Connectivity,ZENDBiz Connect 100,Enterprise,Enterprise,361.45,1
I am not happy with my ZENDSmart Traffic service.,Complaint,Happy,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Enterprise,332.1,5
I am not happy with my ZENDSmart Parking service.,Complaint,Angry,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Standard,201.99,1
Complaint regarding ZENDBiz Connect 500.,Complaint,Angry,Thailand,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,329.54,1
I want to upgrade my ZENDEnterprise Dedicated plan.,Plan Upgrade,Satisfied,India,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,179.44,4
Can you send me my last 2 invoices for ZENDCloud VM Basic?,Billing,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Standard,84.23,1
Requesting refund for ZENDOffice Net 500.,Refund,Angry,Thailand,Home & Office Internet,ZENDOffice Net 500,Individual,Priority,190.73,1
Can I upgrade from ZENDCloud VM Pro to a higher plan?,Plan Upgrade,Angry,India,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Enterprise,29.36,1
I want a refund for ZENDSmart Traffic subscription.,Refund,Happy,India,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Priority,166.68,5
How do I stop ZENDStorage 1TB service?,Cancellation,Happy,USA,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Priority,266.48,5
What features does ZENDFiber Home 100 Mbps offer?,Information Query,Neutral,Singapore,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Standard,86.67,3
I am facing issues with ZENDBiz Connect 500.,Technical Support,Angry,Singapore,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,396.51,1
I was charged $X instead of $Y for ZENDArchive Storage.,Billing,Neutral,India,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,116.15,3
What features does Prepaid Basic 5GB offer?,Information Query,Satisfied,India,Mobile Connectivity,Prepaid Basic 5GB,Individual,Priority,148.79,4
How do I stop ZENDBiz Connect 500 service?,Cancellation,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 500,Individual,Priority,80.14,3
I want to upgrade my ZENDCloud VM Basic plan.,Plan Upgrade,Happy,Thailand,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Standard,167.02,5
Please terminate my ZENDArchive Storage plan.,Cancellation,Satisfied,India,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,184.23,4
How do I stop ZENDBiz Connect 100 service?,Cancellation,Happy,Singapore,Business Connectivity,ZENDBiz Connect 100,Enterprise,Standard,110.82,5
I want to upgrade my ZENDCloud VM Enterprise plan.,Plan Upgrade,Neutral,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Priority,278.22,3
Requesting refund for Postpaid Silver 50GB.,Refund,Satisfied,India,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Standard,122.8,4
I want to cancel my ZENDFiber Home 300 Mbps subscription.,Cancellation,Satisfied,India,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Standard,174.77,4
Need details about Postpaid Gold 100GB.,Information Query,Angry,Thailand,Mobile Connectivity,Postpaid Gold 100GB,Individual,Standard,146.15,1
My Prepaid Basic 5GB is not working properly.,Technical Support,Angry,Singapore,Mobile Connectivity,Prepaid Basic 5GB,Individual,Enterprise,147.93,1
I am facing issues with ZENDArchive Storage.,Technical Support,Angry,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Individual,Priority,58.12,1
Need details about Prepaid Basic 5GB.,Information Query,Angry,Singapore,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Standard,77.45,1
What features does ZENDEnterprise Dedicated offer?,Information Query,Neutral,India,Business Connectivity,ZENDEnterprise Dedicated,Individual,Enterprise,317.31,3
Need help fixing my ZENDCloud VM Pro service.,Technical Support,Happy,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Enterprise,95.17,5
I am not happy with my ZENDFiber Home 300 Mbps service.,Complaint,Satisfied,Singapore,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Standard,164.0,4
I want a refund for ZENDFleet IoT subscription.,Refund,Satisfied,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Enterprise,133.03,4
Frustrated with ZENDSmart Lighting connection.,Complaint,Satisfied,USA,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Enterprise,281.01,4
Requesting refund for ZENDCloud VM Enterprise.,Refund,Satisfied,USA,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Standard,40.33,4
My ZENDEnterprise Dedicated is not working properly.,Technical Support,Neutral,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Individual,Standard,156.63,3
My ZENDOffice Net 500 is not working properly.,Technical Support,Neutral,India,Home & Office Internet,ZENDOffice Net 500,Enterprise,Priority,46.17,3
Can I upgrade from ZENDOffice Net 200 to a higher plan?,Plan Upgrade,Happy,Singapore,Home & Office Internet,ZENDOffice Net 200,Individual,Standard,75.84,5
How much does ZENDEnterprise Ultra cost in my country?,Information Query,Neutral,Singapore,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Standard,214.71,3
How do I stop ZENDSmart Lighting service?,Cancellation,Satisfied,Thailand,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Standard,377.83,4
I am facing issues with Postpaid Gold 100GB.,Technical Support,Angry,Singapore,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Priority,64.05,1
I am facing issues with ZENDCloud VM Basic.,Technical Support,Happy,USA,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Priority,75.38,5
Please terminate my ZENDFiber Home 100 Mbps plan.,Cancellation,Satisfied,Singapore,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Enterprise,82.77,4
What are the costs to move from Postpaid Gold 100GB to premium?,Plan Upgrade,Satisfied,USA,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Priority,147.12,4
What are the costs to move from ZENDStorage 10TB to premium?,Plan Upgrade,Satisfied,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Enterprise,44.5,4
I am facing issues with ZENDSmart Parking.,Technical Support,Happy,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Individual,Standard,92.03,5
My billing amount for ZENDEnterprise Ultra seems incorrect.,Billing,Angry,Singapore,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,56.1,1
I want a refund for ZENDEnterprise Ultra subscription.,Refund,Satisfied,Thailand,Business Connectivity,ZENDEnterprise Ultra,Individual,Standard,259.09,4
I want to cancel my ZENDOffice Net 500 subscription.,Cancellation,Happy,USA,Home & Office Internet,ZENDOffice Net 500,Enterprise,Priority,156.0,5
Please terminate my ZENDArchive Storage plan.,Cancellation,Neutral,Singapore,Cloud & Data Center Services,ZENDArchive Storage,Individual,Enterprise,154.73,3
Frustrated with Prepaid Plus 20GB connection.,Complaint,Neutral,USA,Mobile Connectivity,Prepaid Plus 20GB,Individual,Standard,104.46,3
Can you send me my last 2 invoices for Prepaid Unlimited?,Billing,Satisfied,India,Mobile Connectivity,Prepaid Unlimited,Enterprise,Standard,26.45,4
Can I upgrade from Postpaid Silver 50GB to a higher plan?,Plan Upgrade,Neutral,USA,Mobile Connectivity,Postpaid Silver 50GB,Individual,Standard,56.56,3
What are the costs to move from ZENDArchive Storage to premium?,Plan Upgrade,Happy,USA,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Priority,219.49,5
How do I stop Postpaid Silver 50GB service?,Cancellation,Neutral,Thailand,Mobile Connectivity,Postpaid Silver 50GB,Individual,Priority,47.36,3
What features does ZENDFiber Home 100 Mbps offer?,Information Query,Happy,Singapore,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Priority,176.76,5
What are the costs to move from ZENDFiber Home 300 Mbps to premium?,Plan Upgrade,Angry,Singapore,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Enterprise,26.06,1
I want a refund for Prepaid Unlimited subscription.,Refund,Happy,Thailand,Mobile Connectivity,Prepaid Unlimited,Individual,Priority,131.45,5
My billing amount for Postpaid Gold 100GB seems incorrect.,Billing,Angry,USA,Mobile Connectivity,Postpaid Gold 100GB,Individual,Priority,143.56,1
My ZENDOffice Net 200 is not working properly.,Technical Support,Satisfied,Singapore,Home & Office Internet,ZENDOffice Net 200,Individual,Standard,27.82,4
I was charged $X instead of $Y for ZENDCloud VM Basic.,Billing,Satisfied,India,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Enterprise,141.95,4
What are the costs to move from ZENDOffice Net 1G to premium?,Plan Upgrade,Neutral,India,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Priority,152.21,3
Need help fixing my ZENDFiber Home 300 Mbps service.,Technical Support,Satisfied,Singapore,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Standard,117.37,4
I want to cancel my ZENDStorage 1TB subscription.,Cancellation,Satisfied,Thailand,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Priority,62.33,4
Need details about ZENDBiz Connect 500.,Information Query,Happy,USA,Business Connectivity,ZENDBiz Connect 500,Individual,Priority,325.54,5
Complaint regarding Prepaid Unlimited.,Complaint,Happy,Thailand,Mobile Connectivity,Prepaid Unlimited,Individual,Priority,71.69,5
Complaint regarding Prepaid Plus 20GB.,Complaint,Neutral,Thailand,Mobile Connectivity,Prepaid Plus 20GB,Individual,Enterprise,57.99,3
I want a refund for ZENDFiber Home 100 Mbps subscription.,Refund,Angry,Thailand,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Priority,144.33,1
My billing amount for ZENDBiz Connect 1G seems incorrect.,Billing,Happy,Thailand,Business Connectivity,ZENDBiz Connect 1G,Individual,Enterprise,308.0,5
My billing amount for ZENDStorage 1TB seems incorrect.,Billing,Happy,India,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Enterprise,22.68,5
I am not happy with my ZENDSmart Parking service.,Complaint,Satisfied,India,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Enterprise,103.67,4
Can you send me my last 2 invoices for ZENDOffice Net 500?,Billing,Happy,Thailand,Home & Office Internet,ZENDOffice Net 500,Enterprise,Standard,124.88,5
I am not happy with my ZENDBiz Connect 500 service.,Complaint,Happy,USA,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,356.23,5
I want a refund for ZENDSmart Traffic subscription.,Refund,Angry,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Enterprise,128.37,1
I am not happy with my ZENDBiz Connect 500 service.,Complaint,Neutral,Thailand,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,154.07,3
Frustrated with ZENDCloud VM Basic connection.,Complaint,Neutral,Singapore,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Standard,177.41,3
Need help fixing my ZENDBiz Connect 100 service.,Technical Support,Neutral,USA,Business Connectivity,ZENDBiz Connect 100,Enterprise,Enterprise,134.9,3
Frustrated with ZENDSmart Parking connection.,Complaint,Neutral,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Priority,148.71,3
How much does Prepaid Basic 5GB cost in my country?,Information Query,Happy,USA,Mobile Connectivity,Prepaid Basic 5GB,Individual,Enterprise,20.33,5
I am not happy with my ZENDCloud VM Basic service.,Complaint,Angry,Singapore,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Standard,117.78,1
I was charged $X instead of $Y for ZENDCloud VM Enterprise.,Billing,Satisfied,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,65.54,4
My ZENDFiber Home 100 Mbps is not working properly.,Technical Support,Angry,USA,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Priority,141.34,1
Can I upgrade from ZENDBiz Connect 500 to a higher plan?,Plan Upgrade,Satisfied,India,Business Connectivity,ZENDBiz Connect 500,Individual,Enterprise,326.75,4
I was charged $X instead of $Y for ZENDEnterprise Ultra.,Billing,Satisfied,Thailand,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Standard,262.4,4
How do I stop ZENDFleet IoT service?,Cancellation,Neutral,Thailand,IoT & Smart Solutions,ZENDFleet IoT,Individual,Priority,385.32,3
What features does ZENDCloud VM Enterprise offer?,Information Query,Satisfied,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Enterprise,261.48,4
My ZENDStorage 10TB is not working properly.,Technical Support,Neutral,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Priority,170.19,3
Requesting refund for ZENDArchive Storage.,Refund,Satisfied,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Standard,84.55,4
Need help fixing my ZENDCloud VM Basic service.,Technical Support,Angry,India,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Enterprise,244.52,1
Requesting refund for ZENDIndustrial Sensor.,Refund,Satisfied,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Priority,313.71,4
